,idind,f2a,f4a,f4b,f4c,f5,f6,f7,f8,f9,f10,wave,f4d,f4,hhid,line,commid,t1,t2,t3,t4,t5
1002,212302017002.0,1.0,12.0,7.0,5.0,2.0,,,,,1.0,2009.0,,,212302017.0,2.0,212302.0,21.0,2.0,3.0,2.0,17.0
1024,212302020002.0,1.0,12.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,212302020.0,2.0,212302.0,21.0,2.0,3.0,2.0,20.0
1026,212302061001.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212302061.0,1.0,212302.0,21.0,2.0,3.0,2.0,61.0
1030,212302061002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212302061.0,2.0,212302.0,21.0,2.0,3.0,2.0,61.0
1034,212302122002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212302122.0,2.0,212302.0,21.0,2.0,3.0,2.0,122.0
1035,212302123002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,212302123.0,2.0,212302.0,21.0,2.0,3.0,2.0,123.0
1041,212303001002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212303001.0,2.0,212303.0,21.0,2.0,3.0,3.0,1.0
1063,212303006007.0,1.0,6.0,7.0,3.0,2.0,,,,,0.0,2009.0,,,212303006.0,7.0,212303.0,21.0,2.0,3.0,3.0,6.0
1072,212303009002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212303009.0,2.0,212303.0,21.0,2.0,3.0,3.0,9.0
1084,212303013002.0,1.0,12.0,2.0,3.0,2.0,,,,,1.0,2009.0,,,212303013.0,2.0,212303.0,21.0,2.0,3.0,3.0,13.0
1085,212303014001.0,1.0,12.0,7.0,8.0,2.0,,,,,1.0,2009.0,,,212303014.0,1.0,212303.0,21.0,2.0,3.0,3.0,14.0
1088,212303014002.0,1.0,12.0,7.0,8.0,2.0,,,,,0.0,2009.0,,,212303014.0,2.0,212303.0,21.0,2.0,3.0,3.0,14.0
1110,212303018061.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212303018.0,61.0,212303.0,21.0,2.0,3.0,3.0,18.0
1116,212303019003.0,1.0,12.0,7.0,6.0,2.0,,,,,1.0,2009.0,,,212303019.0,3.0,212303.0,21.0,2.0,3.0,3.0,19.0
1119,212303020001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212303020.0,1.0,212303.0,21.0,2.0,3.0,3.0,20.0
1130,212303083003.0,1.0,4.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,212303083.0,3.0,212303.0,21.0,2.0,3.0,3.0,83.0
1158,212304007002.0,1.0,8.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212304007.0,2.0,212304.0,21.0,2.0,3.0,4.0,7.0
1164,212304009002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212304009.0,2.0,212304.0,21.0,2.0,3.0,4.0,9.0
1172,212304012001.0,1.0,5.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212304012.0,1.0,212304.0,21.0,2.0,3.0,4.0,12.0
1177,212304012002.0,1.0,5.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212304012.0,2.0,212304.0,21.0,2.0,3.0,4.0,12.0
1187,212304015001.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,212304015.0,1.0,212304.0,21.0,2.0,3.0,4.0,15.0
1190,212304015002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212304015.0,2.0,212304.0,21.0,2.0,3.0,4.0,15.0
1197,212304018002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212304018.0,2.0,212304.0,21.0,2.0,3.0,4.0,18.0
1204,212304062081.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212304062.0,81.0,212304.0,21.0,2.0,3.0,4.0,62.0
1210,212304065002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212304065.0,2.0,212304.0,21.0,2.0,3.0,4.0,65.0
1215,212304066002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212304066.0,2.0,212304.0,21.0,2.0,3.0,4.0,66.0
1290,212402017002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212402017.0,2.0,212402.0,21.0,2.0,4.0,2.0,17.0
1378,212403101001.0,1.0,11.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212403101.0,1.0,212403.0,21.0,2.0,4.0,3.0,101.0
1382,212403121002.0,1.0,9.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212403121.0,2.0,212403.0,21.0,2.0,4.0,3.0,121.0
1407,212404011002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212404011.0,2.0,212404.0,21.0,2.0,4.0,4.0,11.0
1493,231103016002.0,1.0,10.0,3.0,10.0,2.0,,,,,1.0,2009.0,,,231103016.0,2.0,231103.0,23.0,1.0,1.0,3.0,16.0
1501,231103018002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,231103018.0,2.0,231103.0,23.0,1.0,1.0,3.0,18.0
1517,231103020001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,231103020.0,1.0,231103.0,23.0,1.0,1.0,3.0,20.0
1520,231103020002.0,1.0,7.0,3.0,4.0,2.0,,,,,0.0,2009.0,,,231103020.0,2.0,231103.0,23.0,1.0,1.0,3.0,20.0
1541,231104013001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,231104013.0,1.0,231104.0,23.0,1.0,1.0,4.0,13.0
