,wave,hhid,hhbus,hhbusimp,hhfarm,hhfarmimp,hhfish,hhfishimp,hhgardimp,hhgard,hhlvst,hhlvstimp,hhothr,hhothrimp,hhsub,hhsubimp,hhretire,hhretireimp,hhnrwage,hhnrwageimp,hhinc,hhincgross,hhexpense,hhincimp,commid,t1,urban,t6_a,t6_b,hhsize,hhinc_pc,cpi1988,cpi2015,index_new,index_old,hhinc_cpi,hhincpc_cpi,hhincgross_cpi,hhexpense_cpi
27772,2009.0,211201131.0,,,,,,,,,,,,,,,39600.0,0.0,,0.0,39600.0,39600.0,0.0,0.0,211201.0,21.0,1.0,2.0,0.0,2.0,19800.0,2.91,0.85,0.85,2.91,46588.23529411765,23294.117647058825,46588.23529411765,0.0
27773,2009.0,211201132.0,,,,,,,,,,,,,,,10320.0,0.0,9600.0,0.0,19920.0,19920.0,0.0,0.0,211201.0,21.0,1.0,2.0,0.0,2.0,9960.0,2.91,0.85,0.85,2.91,23435.29411764706,11717.64705882353,23435.29411764706,0.0
27774,2009.0,211201133.0,,,,,,,,,,,,,,,0.0,0.0,24000.0,1.0,24000.0,24000.0,0.0,1.0,211201.0,21.0,1.0,3.0,0.0,3.0,8000.0,2.91,0.85,0.85,2.91,28235.29411764706,9411.764705882353,28235.29411764706,0.0
27775,2009.0,211201134.0,,,,,,,,,,,,,,,23280.0,0.0,,0.0,23280.0,23280.0,0.0,0.0,211201.0,21.0,1.0,2.0,0.0,2.0,11640.0,2.91,0.85,0.85,2.91,27388.235294117647,13694.117647058823,27388.235294117647,0.0
27776,2009.0,211201135.0,,,,,,,,,,,,0.0,300.0,0.0,20400.0,0.0,16800.0,0.0,37500.0,37500.0,0.0,0.0,211201.0,21.0,1.0,3.0,0.0,3.0,12500.0,2.91,0.85,0.85,2.91,44117.64705882353,14705.882352941177,44117.64705882353,0.0
27777,2009.0,211201136.0,,,,,,,,,,,,,,,20160.0,0.0,,0.0,20160.0,20160.0,0.0,0.0,211201.0,21.0,1.0,4.0,0.0,4.0,5040.0,2.91,0.85,0.85,2.91,23717.64705882353,5929.411764705883,23717.64705882353,0.0
27778,2009.0,211201137.0,,,,,,,,,,,,,,,12000.0,0.0,,0.0,12000.0,12000.0,0.0,0.0,211201.0,21.0,1.0,3.0,0.0,3.0,4000.0,2.91,0.85,0.85,2.91,14117.64705882353,4705.882352941177,14117.64705882353,0.0
27779,2009.0,211201138.0,,,,,,,,,,,,,,,30600.0,0.0,,0.0,30600.0,30600.0,0.0,0.0,211201.0,21.0,1.0,2.0,0.0,2.0,15300.0,2.91,0.85,0.85,2.91,36000.0,18000.0,36000.0,0.0
27780,2009.0,211201139.0,,,,,,,,,,,,,,,21600.0,0.0,16800.0,0.0,38400.0,38400.0,0.0,0.0,211201.0,21.0,1.0,5.0,0.0,5.0,7680.0,2.91,0.85,0.85,2.91,45176.470588235294,9035.29411764706,45176.470588235294,0.0
27781,2009.0,211202085.0,,,,,,,,,,,,,,,0.0,0.0,11400.0,0.0,11400.0,11400.0,0.0,0.0,211202.0,21.0,1.0,3.0,0.0,3.0,3800.0,2.91,0.85,0.85,2.91,13411.764705882353,4470.588235294118,13411.764705882353,0.0
