,hhid,idind,wave,indbusimp,indbus,indfarmimp,indfarm,indfishimp,indfish,indgardimp,indgard,indlvstimp,indlvst,indret,indretimp,indwage,indwageimp,indinc,indincimp,commid,t1,urban,cpi1988,cpi2015,index_new,index_old,indinc_cpi
60299,211203010.0,211203010002.0,2009.0,,,,,,,,,,,25200.0,0.0,,,25200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,34054.05405405405
60300,211203011.0,211203011001.0,2009.0,,,,,,,,,,,,,36000.0,0.0,36000.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,48648.64864864865
60301,211203011.0,211203011002.0,2009.0,,,,,,,,,,,,,36000.0,0.0,36000.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,48648.64864864865
60302,211203014.0,211203014001.0,2009.0,,,,,,,,,,,,,36200.0,0.0,36200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,48918.91891891892
60303,211203014.0,211203014002.0,2009.0,,,,,,,,,,,24000.0,0.0,8400.0,0.0,32400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,43783.78378378379
60304,211203015.0,211203015001.0,2009.0,,,,,,,,,,,,,45000.0,0.0,45000.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,60810.81081081081
60305,211203015.0,211203015002.0,2009.0,,,,,,,,,,,10320.0,0.0,,,10320.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,13945.945945945947
60306,211203017.0,211203017002.0,2009.0,,,,,,,,,,,11400.0,0.0,,,11400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,15405.405405405405
60307,211203061.0,211203061001.0,2009.0,,,,,,,,,,,,,31200.0,0.0,31200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,42162.16216216216
60308,211203061.0,211203061002.0,2009.0,,,,,,,,,,,,,37200.0,0.0,37200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,50270.27027027027
60309,211203083.0,211203083001.0,2009.0,,,,,,,,,,,33600.0,0.0,200.0,0.0,33800.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,45675.67567567567
60310,211203083.0,211203083002.0,2009.0,,,,,,,,,,,26400.0,0.0,,,26400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,35675.67567567567
60311,211203084.0,211203084001.0,2009.0,,,,,,,,,,,33600.0,0.0,,,33600.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,45405.40540540541
60312,211203084.0,211203084002.0,2009.0,,,,,,,,,,,20400.0,0.0,,,20400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,27567.567567567567
60313,211203084.0,211203084003.0,2009.0,,,,,,,,,,,,,8400.0,0.0,8400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,11351.351351351352
60314,211203086.0,211203086001.0,2009.0,,,,,,,,,,,13200.0,0.0,,,13200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,17837.837837837837
60315,211203086.0,211203086002.0,2009.0,,,,,,,,,,,10800.0,0.0,,,10800.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,14594.594594594595
60316,211203087.0,211203087001.0,2009.0,,,,,,,,,,,42000.0,0.0,,,42000.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,56756.75675675676
60317,211203087.0,211203087002.0,2009.0,,,,,,,,,,,27600.0,0.0,,,27600.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,37297.2972972973
60318,211203088.0,211203088001.0,2009.0,,,,,,,,,,,34320.0,0.0,,,34320.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,46378.37837837838
60319,211203088.0,211203088002.0,2009.0,,,,,,,,,,,25200.0,0.0,,,25200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,34054.05405405405
